@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
10,12,2,False,False,True,True,1,1,3,1,20,9,19,10,-1,-1,13,11,1,2562,99,East,2561,2,99
11,12,2,False,False,True,True,1,1,3,1,20,9,19,10,-1,-1,12,9,1,2561,99,East,2560,2,99
12,12,2,False,False,True,True,1,1,3,1,19,9,19,11,-1,-1,10,7,1,2560,99,East,2559,2,99
13,12,2,False,False,True,True,1,1,3,1,20,9,18,11,-1,-1,10,5,2,2559,99,East,2558,2,99
14,12,2,False,False,True,True,1,1,3,1,21,9,17,11,-1,-1,10,3,2,2558,99,East,2557,2,99
15,12,2,False,False,True,True,1,1,3,1,21,9,17,12,-1,-1,9,2,1,2557,99,East,2556,2,99
16,12,2,False,False,True,True,1,1,3,1,22,9,17,12,-1,-1,9,1,1,2556,99,East,2855,1,98
17,12,1,False,False,True,False,1,1,3,1,23,9,7,1,-1,-1,9,-1,1,2855,98,East,2954,1,97
18,12,1,False,False,True,False,1,1,3,1,23,9,7,1,-1,-1,8,-1,2,2954,97,East,2953,1,97
19,12,1,False,False,True,False,1,1,3,1,23,8,7,1,-1,-1,8,-1,1,2953,97,East,3052,1,96
20,12,1,False,False,True,False,1,1,3,1,22,8,7,1,-1,-1,6,-1,1,3052,96,East,3151,1,95
20,11,1,False,False,True,False,1,1,3,1,21,8,7,1,-1,-1,4,-1,1,3151,95,South,3250,1,94
20,10,1,False,False,True,False,1,1,3,1,20,8,7,1,-1,-1,2,-1,1,3250,94,South,3349,1,93
20,9,1,False,False,True,False,1,1,3,1,21,8,7,1,-1,-1,2,-1,1,3349,93,South,3448,1,92
20,8,1,False,False,True,False,1,1,3,1,21,9,7,1,-1,-1,2,-1,1,3448,92,South,3547,1,91
21,8,1,False,False,True,False,1,1,3,1,21,9,7,1,-1,-1,1,-1,1,3547,91,East,3646,1,90
22,8,1,False,False,True,False,1,1,3,1,21,8,7,1,-1,-1,1,-1,1,3646,90,East,3645,1,90
23,8,1,False,False,True,False,1,1,3,1,21,7,7,1,-1,-1,3,-1,2,3645,90,East,3644,1,90
23,7,1,False,False,True,False,1,1,3,1,20,7,7,1,-1,-1,3,-1,1,3644,90,South,3643,1,90
23,6,1,False,False,True,False,1,1,3,1,20,7,7,1,-1,-1,4,-1,2,3643,90,South,3642,1,90
22,6,1,False,False,True,False,1,1,3,1,20,7,7,1,-1,-1,3,-1,1,3642,90,West,3641,1,90
21,6,1,False,False,True,False,1,1,3,1,20,6,7,1,-1,-1,1,-1,1,3641,90,West,3940,0,89
20,6,0,False,False,False,False,1,1,3,1,20,6,7,1,-1,-1,-1,-1,1,3940,89,West,3940,0,89
4,12,4,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,2,-1,121,Stop,-2,4,121
4,12,4,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,2,-2,121,Stop,-3,4,121
4,12,4,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,2,-3,121,Stop,-4,4,121
4,11,4,True,True,True,True,9,3,11,7,19,12,22,9,13,11,16,20,1,-4,121,South,-5,4,121
4,10,4,True,True,True,True,9,3,11,7,19,12,22,9,12,10,17,19,1,-5,121,South,-6,4,121
4,9,4,True,True,True,True,9,3,11,7,19,12,22,9,11,9,18,18,2,-6,121,South,-7,4,121
5,9,4,True,True,True,True,9,3,11,7,19,12,22,9,10,8,17,17,1,-7,121,East,-8,4,121
6,9,4,True,True,True,True,9,3,11,7,19,12,22,9,9,7,16,16,1,-8,121,East,91,4,120
