@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE nearestGhostUp {True, False}
@ATTRIBUTE nearestGhostDown {True, False}
@ATTRIBUTE nearestGhostLeft {True, False}
@ATTRIBUTE nearestGhostRight {True, False}
@ATTRIBUTE angleClosestGhost NUMERIC
@ATTRIBUTE hasWallEast {True, False}
@ATTRIBUTE hasWallSouth {True, False}
@ATTRIBUTE hasWallWest {True, False}
@ATTRIBUTE hasWallNorth {True, False}
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
4,12,4,True,True,True,True,9,3,12,7,19,12,22,9,14,13,15,21,False,True,False,True,328,False,False,False,True,2,-2,121,Stop,-3,4,121
4,12,4,True,True,True,True,9,3,12,7,19,12,22,10,14,13,15,20,False,True,False,True,328,False,False,False,True,2,-3,121,Stop,-4,4,121
4,12,4,True,True,True,True,10,3,13,7,19,12,22,10,15,14,15,20,False,True,False,True,331,False,False,False,True,2,-4,121,Stop,-5,4,121
4,11,4,True,True,True,True,10,3,13,7,19,12,22,10,14,13,16,19,False,True,False,True,336,False,False,False,False,1,-5,121,South,-6,4,121
4,10,4,True,True,True,True,10,3,13,7,19,11,22,9,13,12,16,19,False,True,False,True,342,False,False,False,False,1,-6,121,South,93,4,120
5,10,4,True,True,True,True,11,3,13,8,20,11,21,9,13,10,16,17,False,True,False,True,346,False,False,False,False,1,93,120,East,192,4,119
6,10,4,True,True,True,True,11,3,13,9,20,12,20,9,12,8,16,15,False,True,False,True,352,False,False,False,False,1,192,119,East,291,4,118
7,10,4,True,True,True,True,12,3,13,9,20,12,20,8,12,7,15,15,False,True,False,True,351,False,False,False,False,1,291,118,East,390,4,117
7,9,4,True,True,True,True,13,3,13,10,20,11,19,8,12,7,15,13,True,False,False,True,9,False,False,False,False,1,390,117,South,489,4,116
8,9,4,True,True,True,True,12,3,13,9,21,11,19,7,10,5,15,13,False,False,False,True,0,False,False,False,False,1,489,116,East,588,4,115
9,9,4,True,True,True,True,12,4,13,8,21,10,19,7,8,5,13,12,False,True,False,True,346,False,False,False,False,1,588,115,East,687,4,114
10,9,4,True,True,True,True,12,5,13,9,20,10,19,6,6,3,11,12,False,False,False,True,0,False,False,False,False,1,687,114,East,686,4,114
11,9,4,True,True,True,True,12,5,14,9,20,11,19,7,5,3,11,10,False,False,False,True,0,False,False,False,False,1,686,114,East,785,4,113
11,8,4,True,True,True,True,12,6,13,9,21,11,19,8,3,3,13,8,False,True,False,True,297,False,False,False,False,1,785,113,South,784,4,113
11,7,4,True,True,True,True,12,6,13,9,21,12,19,8,2,4,15,9,False,True,False,True,315,False,False,False,False,1,784,113,South,883,4,112
12,7,4,True,True,True,True,12,5,14,9,20,12,20,8,2,4,13,9,False,True,False,False,270,False,False,False,False,1,883,112,East,882,4,112
13,7,4,True,True,True,True,11,5,13,9,20,12,20,9,4,2,12,9,True,False,False,False,90,False,False,False,False,2,882,112,East,881,4,112
13,6,4,True,True,True,True,10,5,13,9,21,12,19,9,4,3,14,9,True,False,False,False,90,False,False,False,False,2,881,112,South,880,4,112
