(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(10, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 6, 8, 4],10
(10, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 6, 8, 4],10
(10, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 6, 8, 4],10
(10, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 6, 8, 4],10
(10, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 6, 8, 4],10
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[11, 7, 7, 3],9
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 9, 5, 5],7
(11, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 9, 5, 5],7
(11, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 9, 5, 5],7
(11, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 9, 5, 5],7
(11, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 9, 5, 5],7
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(11, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 8, 6, 4],8
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 8, 6, 6],8
(10, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 8, 6, 6],8
(10, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 8, 6, 6],8
(10, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 8, 6, 6],8
(10, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 8, 6, 6],8
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 8, 6, 6],8
(10, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 8, 6, 6],8
(10, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 8, 6, 6],8
(10, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 8, 6, 6],8
(10, 9),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[8, 8, 6, 6],8
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 10),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 7, 7, 5],9
(10, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 6, 8, 4],10
(10, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 6, 8, 4],10
(10, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 6, 8, 4],10
(10, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 6, 8, 4],10
(10, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 6, 8, 4],10
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 11),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[9, 5, 9, 5],11
(9, 12),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 4, 10, 4],12
(9, 12),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 4, 10, 4],12
(9, 12),['North', 'South', 'East', 'West', 'Stop'],[False, True, True, True, True],[(5, 6), (5, 12), (13, 6), (13, 12)],[10, 4, 10, 4],12
