@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
5,12,4,True,True,True,True,10,3,11,5,21,11,22,10,14,13,17,20,1,-4,121,East,-5,4,121
6,12,4,True,True,True,True,11,3,12,5,21,10,23,10,14,13,17,18,1,-5,121,East,94,4,120
6,11,4,True,True,True,True,11,4,12,5,20,10,22,10,12,12,15,16,1,94,120,South,193,4,119
5,11,4,True,True,True,True,10,4,13,5,20,9,22,11,12,14,17,18,1,193,119,West,192,4,119
4,11,4,True,True,True,True,10,5,14,5,20,8,22,10,12,16,19,18,2,192,119,West,191,4,119
3,11,4,True,True,True,True,10,4,14,4,20,7,21,10,14,18,21,20,1,191,119,West,290,4,118
2,11,4,True,True,True,True,10,4,15,4,21,7,22,10,15,20,23,22,1,290,118,West,389,4,117
2,12,4,True,True,True,True,10,3,15,5,21,6,23,10,17,20,25,22,1,389,117,North,388,4,117
2,12,4,True,True,True,True,9,3,14,5,21,6,23,11,16,19,25,21,1,388,117,North,487,4,116
1,12,4,True,True,True,True,8,3,14,4,20,6,22,11,16,21,25,23,1,487,116,West,486,4,116
1,12,4,True,True,True,True,8,3,14,5,20,5,23,11,16,20,26,22,1,486,116,West,585,4,115
